time,robotId:0,x0,y0,z0,robotId:1,x1,y1,z1,robotId:2,x2,y2,z2,robotId:3,x3,y3,z3,robotId:4,x4,y4,z4,robotId:5,x5,y5,z5,robotId:6,x6,y6,z6,robotId:7,x7,y7,z7,robotId:8,x8,y8,z8
1,0,-0.344637,0.0818019,0,1,-0.500869,0.209188,0,2,-0.138078,-0.315314,0,3,-0.445058,-0.235785,0,4,-0.0286361,0.0333428,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
2,0,-0.344637,0.0818019,0,1,-0.500869,0.209188,0,2,-0.138078,-0.315314,0,3,-0.445058,-0.235785,0,4,-0.0286361,0.0333428,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
3,0,-0.342667,0.0801126,0,1,-0.500869,0.209188,0,2,-0.135949,-0.316798,0,3,-0.445058,-0.235785,0,4,-0.0273612,0.0310822,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
4,0,-0.340135,0.0779444,0,1,-0.500869,0.209188,0,2,-0.133231,-0.318729,0,3,-0.445058,-0.235785,0,4,-0.0256237,0.0282379,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
5,0,-0.337602,0.075778,0,1,-0.500869,0.209188,0,2,-0.130535,-0.320688,0,3,-0.445058,-0.235785,0,4,-0.0237691,0.0254684,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
6,0,-0.335067,0.0736134,0,1,-0.500869,0.209188,0,2,-0.12786,-0.322677,0,3,-0.445058,-0.235785,0,4,-0.0218026,0.0227773,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
7,0,-0.332531,0.0714504,0,1,-0.500869,0.209188,0,2,-0.125206,-0.324694,0,3,-0.445058,-0.235785,0,4,-0.0197307,0.0201664,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
8,0,-0.329993,0.0692891,0,1,-0.500869,0.209188,0,2,-0.122574,-0.326739,0,3,-0.445058,-0.235785,0,4,-0.0175596,0.0176374,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
9,0,-0.327454,0.0671292,0,1,-0.500869,0.209188,0,2,-0.119964,-0.328813,0,3,-0.445058,-0.235785,0,4,-0.0152952,0.0151915,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
10,0,-0.324914,0.0649709,0,1,-0.500869,0.209188,0,2,-0.117377,-0.330914,0,3,-0.445058,-0.235785,0,4,-0.0129433,0.0128296,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
11,0,-0.322373,0.0628139,0,1,-0.500033,0.211645,0,2,-0.114811,-0.333042,0,3,-0.445058,-0.235785,0,4,-0.0105094,0.0105523,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
12,0,-0.31983,0.0606583,0,1,-0.499067,0.214835,0,2,-0.112268,-0.335197,0,3,-0.445058,-0.235785,0,4,-0.00799884,0.00835984,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
13,0,-0.317287,0.0585032,0,1,-0.498216,0.218058,0,2,-0.109748,-0.337379,0,3,-0.445058,-0.235785,0,4,-0.00541664,0.00625218,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
14,0,-0.314745,0.0563478,0,1,-0.497475,0.221308,0,2,-0.10725,-0.339586,0,3,-0.445058,-0.235785,0,4,-0.00276764,0.0042291,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
15,0,-0.312203,0.0541911,0,1,-0.496841,0.22458,0,2,-0.104775,-0.341819,0,3,-0.445058,-0.235785,0,4,-5.6424e-05,0.00229017,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
16,0,-0.309663,0.0520322,0,1,-0.496309,0.227871,0,2,-0.102324,-0.344078,0,3,-0.445058,-0.235785,0,4,0.00271265,0.000434788,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
17,0,-0.307126,0.0498704,0,1,-0.495877,0.231176,0,2,-0.0998946,-0.34636,0,3,-0.445058,-0.235785,0,4,0.00553545,-0.00133779,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
18,0,-0.304592,0.0477048,0,1,-0.49554,0.234492,0,2,-0.0974887,-0.348667,0,3,-0.445058,-0.235785,0,4,0.00840807,-0.00302846,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
19,0,-0.302062,0.0455349,0,1,-0.495294,0.237816,0,2,-0.0951058,-0.350998,0,3,-0.445058,-0.235785,0,4,0.0113268,-0.00463819,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
20,0,-0.299535,0.0433601,0,1,-0.495137,0.241145,0,2,-0.0927459,-0.353352,0,3,-0.445058,-0.235785,0,4,0.0142882,-0.0061681,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
21,0,-0.297014,0.04118,0,1,-0.495065,0.244478,0,2,-0.090409,-0.355729,0,3,-0.445058,-0.235785,0,4,0.0172889,-0.00761934,0,5,3,0,0,6,0,3,0,7,-3,0,0,8,0,-3,0
22,0,-0.294498,0.0389939,0,1,-0.495074,0.247811,0,2,-0.0880951,-0.358129,0,3,-0.445058,-0.235785,0,4,0.0203259,-0.00899318,0,5,3.0026,0,0,6,0.00259524,3,0,7,-3,0,0,8,0,-3,0
23,0,-0.291987,0.0368017,0,1,-0.495161,0.251143,0,2,-0.0858042,-0.36055,0,3,-0.445058,-0.235785,0,4,0.0233961,-0.0102909,0,5,3.00593,-0.000128532,0,6,0.00592857,3,0,7,-3,0,0,8,0,-3,0
24,0,-0.289481,0.0346028,0,1,-0.495324,0.254473,0,2,-0.0835361,-0.362993,0,3,-0.445058,-0.235785,0,4,0.0264969,-0.0115139,0,5,3.00925,-0.000410449,0,6,0.0092619,3,0,7,-3,0,0,8,0,-3,0
25,0,-0.288927,0.0341158,0,1,-0.495558,0.257798,0,2,-0.0812907,-0.365456,0,3,-0.445058,-0.235785,0,4,0.0296256,-0.0126636,0,5,3.01255,-0.000842292,0,6,0.0125952,3,0,7,-3,0,0,8,0,-3,0
26,0,-0.288927,0.0341158,0,1,-0.495853,0.261118,0,2,-0.0790682,-0.367941,0,3,-0.445058,-0.235785,0,4,0.0327798,-0.0137413,0,5,3.01583,-0.00141879,0,6,0.0159286,3,0,7,-3,0,0,8,0,-3,0
27,0,-0.288927,0.0341158,0,1,-0.496204,0.264433,0,2,-0.0768682,-0.370445,0,3,-0.445058,-0.235785,0,4,0.0359572,-0.0147486,0,5,3.01909,-0.0021346,0,6,0.0192619,3,0,7,-3,0,0,8,0,-3,0
28,0,-0.288927,0.0341158,0,1,-0.496609,0.267741,0,2,-0.0746907,-0.372969,0,3,-0.445058,-0.235785,0,4,0.0391558,-0.0156866,0,5,3.02231,-0.00298438,0,6,0.0225952,3,0,7,-3,0,0,8,0,-3,0
29,0,-0.288927,0.0341158,0,1,-0.497065,0.271043,0,2,-0.0725356,-0.375511,0,3,-0.445058,-0.235785,0,4,0.0423735,-0.0165568,0,5,3.0255,-0.00396279,0,6,0.0259286,2.99999,0,7,-3,0,0,8,0,-3,0
30,0,-0.288927,0.0341158,0,1,-0.49757,0.274338,0,2,-0.0704026,-0.378073,0,3,-0.445058,-0.235785,0,4,0.0456084,-0.0173604,0,5,3.02864,-0.00506455,0,6,0.0292619,2.99999,0,7,-2.99759,0.000953439,0,8,0,-3,0
31,0,-0.288927,0.0341158,0,1,-0.498123,0.277625,0,2,-0.0682918,-0.380653,0,3,-0.445058,-0.235785,0,4,0.0488589,-0.0180988,0,5,3.03175,-0.00628445,0,6,0.0325952,2.99999,0,7,-2.99453,0.00228147,0,8,0,-3,0
32,0,-0.288927,0.0341158,0,1,-0.498721,0.280904,0,2,-0.066203,-0.38325,0,3,-0.445058,-0.235785,0,4,0.0521232,-0.0187734,0,5,3.0348,-0.00761735,0,6,0.0359286,2.99998,0,7,-2.99152,0.00371968,0,8,0,-3,0
33,0,-0.288927,0.0341158,0,1,-0.499362,0.284175,0,2,-0.064136,-0.385866,0,3,-0.445058,-0.235785,0,4,0.0553998,-0.0193855,0,5,3.03781,-0.00905361,0,6,0.0392619,2.99998,0,7,-2.98857,0.00526581,0,8,0,-3,0
34,0,-0.288927,0.0341158,0,1,-0.500045,0.287438,0,2,-0.0620907,-0.388498,0,3,-0.445058,-0.235785,0,4,0.0586872,-0.0199365,0,5,3.04077,-0.0105876,0,6,0.0425952,2.99999,0,7,-2.98567,0.00691783,0,8,0,-3,0
35,0,-0.288927,0.0341158,0,1,-0.500768,0.290692,0,2,-0.0600671,-0.391146,0,3,-0.445058,-0.235785,0,4,0.0619841,-0.0204276,0,5,3.04368,-0.0122148,0,6,0.0459285,3,0,7,-2.98284,0.0086736,0,8,0,-3,0
36,0,-0.288927,0.0341158,0,1,-0.501529,0.293937,0,2,-0.058065,-0.393812,0,3,-0.444216,-0.23824,0,4,0.0652892,-0.0208603,0,5,3.04654,-0.013931,0,6,0.0492618,3.00001,0,7,-2.98007,0.0105308,0,8,0,-3,0
37,0,-0.288927,0.0341158,0,1,-0.502327,0.297174,0,2,-0.0560844,-0.396493,0,3,-0.443244,-0.241428,0,4,0.0686012,-0.021236,0,5,3.04934,-0.015732,0,6,0.0525951,3.00003,0,7,-2.97737,0.012487,0,8,0,-3,0
38,0,-0.288927,0.0341158,0,1,-0.50316,0.300401,0,2,-0.0541247,-0.399189,0,3,-0.442387,-0.244649,0,4,0.0719191,-0.0215558,0,5,3.05209,-0.0176138,0,6,0.0559284,3.00006,0,7,-2.97475,0.0145396,0,8,0,-3,0
39,0,-0.288927,0.0341158,0,1,-0.504027,0.30362,0,2,-0.0521854,-0.4019,0,3,-0.441643,-0.247898,0,4,0.0752418,-0.0218212,0,5,3.05479,-0.0195727,0,6,0.0592616,3.00008,0,7,-2.9722,0.0166859,0,8,0,-3,0
40,0,-0.288927,0.0341158,0,1,-0.504927,0.306829,0,2,-0.0502656,-0.404625,0,3,-0.44101,-0.25117,0,4,0.0785684,-0.0220333,0,5,3.05743,-0.0216047,0,6,0.0625948,3.00011,0,7,-2.96973,0.0189232,0,8,0,-3,0
41,0,-0.288927,0.0341158,0,1,-0.505859,0.310029,0,2,-0.0483648,-0.407363,0,3,-0.440485,-0.254462,0,4,0.0818978,-0.0221935,0,5,3.06002,-0.0237065,0,6,0.065928,3.00015,0,7,-2.96734,0.0212485,0,8,0,-3,0
42,0,-0.288927,0.0341158,0,1,-0.506823,0.31322,0,2,-0.0464822,-0.410114,0,3,-0.440066,-0.257769,0,4,0.0852293,-0.0223031,0,5,3.06255,-0.0258745,0,6,0.0692611,3.00018,0,7,-2.96504,0.0236587,0,8,0,-3,0
43,0,-0.288927,0.0341158,0,1,-0.507818,0.316402,0,2,-0.0446173,-0.412877,0,3,-0.43975,-0.261087,0,4,0.0885621,-0.0223633,0,5,3.06503,-0.0281017,0,6,0.0725941,3.00023,0,7,-2.96282,0.0261507,0,8,0,-3,0
44,0,-0.286873,0.0344817,0,1,-0.508842,0.319574,0,2,-0.0427693,-0.415651,0,3,-0.439535,-0.264413,0,4,0.0918954,-0.0223755,0,5,3.06746,-0.0303844,0,6,0.075927,3.00028,0,7,-2.9607,0.0287212,0,8,0,-3,0
45,0,-0.284415,0.0349872,0,1,-0.509863,0.322641,0,2,-0.0409377,-0.418436,0,3,-0.439418,-0.267744,0,4,0.0952285,-0.022341,0,5,3.06984,-0.0327197,0,6,0.0792597,3.00035,0,7,-2.95867,0.0313668,0,8,0,-3,0
46,0,-0.282022,0.0355469,0,1,-0.510846,0.325508,0,2,-0.0391218,-0.421231,0,3,-0.439398,-0.271077,0,4,0.0985608,-0.0222616,0,5,3.07216,-0.0351052,0,6,0.0825923,3.00042,0,7,-2.95674,0.0340841,0,8,0,-3,0
47,0,-0.2797,0.0361542,0,1,-0.511786,0.328177,0,2,-0.0373213,-0.424037,0,3,-0.439471,-0.27441,0,4,0.101892,-0.0221391,0,5,3.07444,-0.0375383,0,6,0.0859247,3.0005,0,7,-2.95491,0.0368696,0,8,0,-3,0
48,0,-0.277454,0.0368027,0,1,-0.512683,0.33066,0,2,-0.0355356,-0.426851,0,3,-0.439637,-0.277739,0,4,0.105221,-0.0219757,0,5,3.07667,-0.0400168,0,6,0.0892569,3.00058,0,7,-2.95319,0.0397194,0,8,0,-3,0
49,0,-0.275286,0.037486,0,1,-0.513535,0.332964,0,2,-0.0337983,-0.429621,0,3,-0.439893,-0.281062,0,4,0.108548,-0.0217733,0,5,3.07885,-0.0425384,0,6,0.0925889,3.00068,0,7,-2.95156,0.04263,0,8,0,-3,0
50,0,-0.273201,0.0381975,0,1,-0.514684,0.335998,0,2,-0.0320443,-0.432447,0,3,-0.440237,-0.284378,0,4,0.111873,-0.0215338,0,5,3.08098,-0.045101,0,6,0.0959207,3.00078,0,7,-2.95004,0.0455975,0,8,0,-3,0
51,0,-0.271191,0.0389342,0,1,-0.515889,0.339106,0,2,-0.0302966,-0.435285,0,3,-0.440667,-0.287683,0,4,0.115195,-0.021259,0,5,3.08307,-0.0477025,0,6,0.0992523,3.00089,0,7,-2.94863,0.048618,0,8,0,-3,0
52,0,-0.269255,0.0396918,0,1,-0.51712,0.342204,0,2,-0.0285574,-0.438129,0,3,-0.441182,-0.290976,0,4,0.118514,-0.0209505,0,5,3.0851,-0.050341,0,6,0.102584,3.001,0,7,-2.94733,0.0516876,0,8,0,-3,0
53,0,-0.267393,0.0404659,0,1,-0.518352,0.345229,0,2,-0.0268263,-0.440977,0,3,-0.441779,-0.294256,0,4,0.12183,-0.0206101,0,5,3.0871,-0.0530116,0,6,0.105915,3.00112,0,7,-2.94615,0.0548021,0,8,0,-3,0
54,0,-0.265606,0.0412521,0,1,-0.519569,0.348147,0,2,-0.0251025,-0.44383,0,3,-0.442456,-0.29752,0,4,0.125143,-0.0202393,0,5,3.08905,-0.0557121,0,6,0.109245,3.00126,0,7,-2.94507,0.0579577,0,8,0,-3,0
55,0,-0.263894,0.0420459,0,1,-0.520767,0.350959,0,2,-0.0233854,-0.446687,0,3,-0.443211,-0.300766,0,4,0.128452,-0.0198396,0,5,3.09097,-0.0584409,0,6,0.112575,3.00141,0,7,-2.94412,0.06115,0,8,0,-3,0
56,0,-0.262256,0.0428426,0,1,-0.521946,0.353672,0,2,-0.0216744,-0.449548,0,3,-0.444042,-0.303994,0,4,0.131758,-0.0194124,0,5,3.09284,-0.0611969,0,6,0.115905,3.00156,0,7,-2.94327,0.0643749,0,8,0,-3,0
57,0,-0.260695,0.0436383,0,1,-0.523107,0.356289,0,2,-0.019969,-0.452412,0,3,-0.444948,-0.307202,0,4,0.13506,-0.018959,0,5,3.09468,-0.0639787,0,6,0.119234,3.00173,0,7,-2.94255,0.0676282,0,8,0,-3,0
58,0,-0.259208,0.0444289,0,1,-0.524248,0.358816,0,2,-0.0182685,-0.455279,0,3,-0.445925,-0.310389,0,4,0.138359,-0.0184807,0,5,3.09648,-0.066785,0,6,0.122563,3.00191,0,7,-2.94194,0.0709057,0,8,0,-3,0
59,0,-0.257795,0.0452105,0,1,-0.525369,0.361258,0,2,-0.0165724,-0.458149,0,3,-0.446973,-0.313553,0,4,0.141654,-0.0179786,0,5,3.09824,-0.0696147,0,6,0.125891,3.0021,0,7,-2.94145,0.0742029,0,8,0,-3,0
60,0,-0.256456,0.0459798,0,1,-0.52647,0.363617,0,2,-0.01488,-0.46102,0,3,-0.448089,-0.316694,0,4,0.144946,-0.0174538,0,5,3.09996,-0.0724668,0,6,0.129218,3.0023,0,7,-2.94109,0.0775157,0,8,0,-3,0
61,0,-0.25519,0.0467334,0,1,-0.52755,0.365898,0,2,-0.0132346,-0.46382,0,3,-0.449272,-0.31981,0,4,0.148234,-0.0169073,0,5,3.10165,-0.0753402,0,6,0.132545,3.0025,0,7,-2.94084,0.0808396,0,8,-0.00072116,-3.00249,0
62,0,-0.253995,0.0474687,0,1,-0.528611,0.368105,0,2,-0.0116435,-0.466532,0,3,-0.450518,-0.322902,0,4,0.151519,-0.0163401,0,5,3.10331,-0.0782338,0,6,0.135872,3.00272,0,7,-2.94071,0.0841703,0,8,-0.00174717,-3.00566,0
63,0,-0.252868,0.0481835,0,1,-0.52965,0.370241,0,2,-0.0101048,-0.46916,0,3,-0.451826,-0.325967,0,4,0.1548,-0.0157529,0,5,3.10493,-0.0811443,0,6,0.139197,3.00294,0,7,-2.9407,0.0875034,0,8,-0.00287143,-3.0088,0
64,0,-0.251808,0.0488756,0,1,-0.530669,0.372308,0,2,-0.00861664,-0.471704,0,3,-0.453195,-0.329007,0,4,0.158027,-0.015156,0,5,3.10653,-0.0840702,0,6,0.142522,3.00319,0,7,-2.94082,0.0908346,0,8,-0.00408853,-3.01191,0
65,0,-0.250813,0.0495435,0,1,-0.531667,0.37431,0,2,-0.00717678,-0.474167,0,3,-0.454613,-0.332002,0,4,0.161165,-0.0145574,0,5,3.1081,-0.087011,0,6,0.145845,3.00344,0,7,-2.94105,0.0941595,0,8,-0.0053947,-3.01497,0
66,0,-0.249879,0.0501862,0,1,-0.532642,0.376245,0,2,-0.00578311,-0.476552,0,3,-0.456048,-0.334893,0,4,0.164215,-0.0139588,0,5,3.10964,-0.0899661,0,6,0.149168,3.00371,0,7,-2.94141,0.0974737,0,8,-0.00678631,-3.018,0
67,0,-0.249004,0.0508032,0,1,-0.533594,0.378116,0,2,-0.00443348,-0.478862,0,3,-0.457494,-0.33768,0,4,0.167181,-0.0133611,0,5,3.11116,-0.0929347,0,6,0.15249,3.00399,0,7,-2.94188,0.100773,0,8,-0.00825985,-3.02099,0
68,0,-0.248183,0.0513946,0,1,-0.534522,0.379924,0,2,-0.00312586,-0.481099,0,3,-0.458947,-0.340367,0,4,0.170067,-0.0127653,0,5,3.11265,-0.0959164,0,6,0.15581,3.00428,0,7,-2.94247,0.104053,0,8,-0.00981193,-3.02394,0
69,0,-0.247415,0.0519603,0,1,-0.535425,0.381668,0,2,-0.00185832,-0.483267,0,3,-0.460402,-0.342958,0,4,0.172872,-0.0121727,0,5,3.11411,-0.0989105,0,6,0.15913,3.00458,0,7,-2.94319,0.107309,0,8,-0.0114393,-3.02685,0
70,0,-0.246696,0.0525007,0,1,-0.536304,0.38335,0,2,-0.000629062,-0.485367,0,3,-0.461854,-0.345455,0,4,0.175597,-0.0115843,0,5,3.11555,-0.101917,0,6,0.162448,3.00489,0,7,-2.94402,0.110537,0,8,-0.0131386,-3.02972,0
71,0,-0.246023,0.0530158,0,1,-0.537156,0.384972,0,2,0.000563634,-0.487403,0,3,-0.463302,-0.34786,0,4,0.178242,-0.0110014,0,5,3.11697,-0.104934,0,6,0.165766,3.00521,0,7,-2.94496,0.113733,0,8,-0.014907,-3.03254,0
72,0,-0.245393,0.0535063,0,1,-0.537983,0.386534,0,2,0.0017214,-0.489377,0,3,-0.46474,-0.350176,0,4,0.180807,-0.0104249,0,5,3.11836,-0.107963,0,6,0.169083,3.00555,0,7,-2.94602,0.116893,0,8,-0.0167414,-3.03533,0
73,0,-0.244805,0.0539725,0,1,-0.538784,0.388038,0,2,0.00284577,-0.491292,0,3,-0.466166,-0.352405,0,4,0.183293,-0.00985565,0,5,3.11974,-0.111,0,6,0.172398,3.00589,0,7,-2.9472,0.120012,0,8,-0.0186347,-3.03807,0
74,0,-0.244255,0.054415,0,1,-0.53956,0.389485,0,2,0.00393822,-0.493149,0,3,-0.467578,-0.35455,0,4,0.185701,-0.00929437,0,5,3.12109,-0.114044,0,6,0.175712,3.00626,0,7,-2.94848,0.123087,0,8,-0.0205835,-3.04077,0
75,0,-0.243741,0.0548345,0,1,-0.540309,0.390876,0,2,0.00500015,-0.494951,0,3,-0.468972,-0.356614,0,4,0.188031,-0.00874173,0,5,3.12243,-0.117096,0,6,0.179024,3.00663,0,7,-2.94988,0.126113,0,8,-0.0225855,-3.04344,0
76,0,-0.243262,0.0552314,0,1,-0.541033,0.392213,0,2,0.00603287,-0.496701,0,3,-0.470348,-0.358598,0,4,0.190285,-0.0081983,0,5,3.12376,-0.120156,0,6,0.182334,3.00702,0,7,-2.95139,0.129087,0,8,-0.0246383,-3.04606,0
77,0,-0.242815,0.0556066,0,1,-0.541731,0.393497,0,2,0.00703765,-0.4984,0,3,-0.471702,-0.360506,0,4,0.192464,-0.00766457,0,5,3.12507,-0.123221,0,6,0.185643,3.00743,0,7,-2.953,0.132004,0,8,-0.0267398,-3.04865,0
78,0,-0.242399,0.0559607,0,1,-0.542404,0.39473,0,2,0.00801567,-0.500051,0,3,-0.473035,-0.36234,0,4,0.194568,-0.00714095,0,5,3.12636,-0.126294,0,6,0.18895,3.00785,0,7,-2.95472,0.134861,0,8,-0.028888,-3.0512,0
79,0,-0.242011,0.0562944,0,1,-0.543052,0.395912,0,2,0.00896807,-0.501655,0,3,-0.474343,-0.364102,0,4,0.196599,-0.00662779,0,5,3.12763,-0.129373,0,6,0.192255,3.00827,0,7,-2.95654,0.137653,0,8,-0.0310809,-3.05371,0
80,0,-0.24165,0.0566085,0,1,-0.543675,0.397047,0,2,0.00989593,-0.503214,0,3,-0.475627,-0.365795,0,4,0.198559,-0.00612535,0,5,3.1289,-0.132458,0,6,0.195559,3.00872,0,7,-2.95846,0.140378,0,8,-0.0333166,-3.05618,0
81,0,-0.241314,0.0569037,0,1,-0.544274,0.398134,0,2,0.0108003,-0.504731,0,3,-0.476885,-0.367421,0,4,0.200449,-0.00563387,0,5,3.13014,-0.135549,0,6,0.198862,3.00917,0,7,-2.96047,0.143032,0,8,-0.0355932,-3.05862,0
82,0,-0.241002,0.0571807,0,1,-0.54485,0.399176,0,2,0.0116821,-0.506207,0,3,-0.478117,-0.368982,0,4,0.20227,-0.00515351,0,5,3.13138,-0.138646,0,6,0.202163,3.00963,0,7,-2.96258,0.145611,0,8,-0.037909,-3.06102,0
83,0,-0.240713,0.0574403,0,1,-0.545403,0.400173,0,2,0.0125423,-0.507644,0,3,-0.479322,-0.370481,0,4,0.204025,-0.0046844,0,5,3.1326,-0.141747,0,6,0.205461,3.01011,0,7,-2.96479,0.148112,0,8,-0.0402588,-3.06338,0
84,0,-0.240445,0.0576833,0,1,-0.545934,0.401128,0,2,0.0133818,-0.509042,0,3,-0.480499,-0.37192,0,4,0.205714,-0.00422661,0,5,3.13382,-0.144851,0,6,0.208758,3.01061,0,7,-2.96708,0.150531,0,8,-0.0426403,-3.06571,0
85,0,-0.240196,0.0579104,0,1,-0.546442,0.402042,0,2,0.0142014,-0.510405,0,3,-0.481649,-0.373301,0,4,0.207339,-0.00378019,0,5,3.13502,-0.147958,0,6,0.212052,3.01112,0,7,-2.96946,0.152866,0,8,-0.0450522,-3.06801,0
86,0,-0.239966,0.0581223,0,1,-0.546929,0.402917,0,2,0.015002,-0.511733,0,3,-0.482771,-0.374626,0,4,0.208902,-0.00334512,0,5,3.13622,-0.151068,0,6,0.215343,3.01164,0,7,-2.97192,0.155113,0,8,-0.0474932,-3.07028,0
