time,robotId:0,x0,y0,z0,robotId:1,x1,y1,z1,robotId:2,x2,y2,z2,robotId:3,x3,y3,z3,robotId:4,x4,y4,z4,robotId:5,x5,y5,z5,robotId:6,x6,y6,z6,robotId:7,x7,y7,z7,robotId:8,x8,y8,z8,robotId:9,x9,y9,z9,robotId:10,x10,y10,z10,robotId:11,x11,y11,z11,robotId:12,x12,y12,z12,robotId:13,x13,y13,z13,robotId:14,x14,y14,z14,robotId:15,x15,y15,z15,robotId:16,x16,y16,z16,robotId:17,x17,y17,z17,robotId:18,x18,y18,z18,robotId:19,x19,y19,z19,robotId:20,x20,y20,z20,robotId:21,x21,y21,z21,robotId:22,x22,y22,z22,robotId:23,x23,y23,z23,robotId:24,x24,y24,z24,robotId:25,x25,y25,z25,robotId:26,x26,y26,z26,robotId:27,x27,y27,z27,robotId:28,x28,y28,z28,robotId:29,x29,y29,z29,robotId:30,x30,y30,z30,robotId:31,x31,y31,z31,robotId:32,x32,y32,z32,robotId:33,x33,y33,z33,robotId:34,x34,y34,z34,robotId:35,x35,y35,z35,robotId:36,x36,y36,z36,robotId:37,x37,y37,z37,robotId:38,x38,y38,z38,robotId:39,x39,y39,z39,robotId:40,x40,y40,z40,robotId:41,x41,y41,z41,robotId:42,x42,y42,z42,robotId:43,x43,y43,z43,robotId:44,x44,y44,z44,robotId:45,x45,y45,z45,robotId:46,x46,y46,z46,robotId:47,x47,y47,z47,robotId:48,x48,y48,z48,robotId:49,x49,y49,z49,robotId:50,x50,y50,z50,robotId:51,x51,y51,z51,robotId:52,x52,y52,z52,robotId:53,x53,y53,z53
1,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
2,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
3,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
4,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
5,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
6,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
7,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
8,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
9,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
10,0,-0.0571528,1.23231,0,1,0.95604,1.65811,0,2,0.149416,0.186633,0,3,0.760538,-0.631544,0,4,-0.911217,-0.449768,0,5,-0.481079,-0.129301,0,6,-0.553168,-0.415012,0,7,-1.10677,-1.47281,0,8,-0.591381,0.225835,0,9,-0.23256,1.11916,0,10,-1.0121,-1.5386,0,11,0.156767,1.65437,0,12,0.416549,0.939219,0,13,0.619532,0.324178,0,14,-1.44458,-1.17371,0,15,-1.3281,-0.191782,0,16,1.58918,-1.67623,0,17,0.0598335,0.0740543,0,18,-1.46308,0.0157083,0,19,1.1732,-1.66726,0,20,0.0883,-0.0775033,0,21,0.930156,-1.2948,0,22,-0.584059,-1.51593,0,23,-1.58503,0.141527,0,24,-0.308481,-1.0746,0,25,-0.357425,-0.251327,0,26,-1.3312,1.54071,0,27,-0.450338,0.157428,0,28,-1.53007,-0.646334,0,29,1.18054,-1.06003,0,30,1.25981,0.87107,0,31,-1.38832,0.308318,0,32,0.651693,-1.45241,0,33,1.66955,-0.523161,0,34,0.0640063,0.718499,0,35,-0.157534,1.05991,0,36,0.542294,0.838159,0,37,-0.0139055,0.292823,0,38,-0.478177,1.35286,0,39,-1.52535,0.975166,0,40,-0.719986,-1.22726,0,41,1.31705,-0.176424,0,42,-0.0321106,0.367686,0,43,-0.217751,-0.111688,0,44,0.652414,0.601097,0,45,0.44768,-0.45201,0,46,-1.44467,-1.3943,0,47,-1.06087,-0.259315,0,48,-1.16857,-0.279875,0,49,1.38281,1.62094,0,50,4.75943,5.33631,0,51,4.61134,5.26456,0,52,5.14785,4.98696,0,53,5.15025,5.25378,0
